day,event_count
2011-06-15,4772
2011-06-16,5307
2011-06-17,4026
2011-06-18,4302
2011-06-19,5700
2011-06-20,4850
2011-06-21,4026
2011-06-22,4576
2011-06-23,4910
2011-06-24,4878
2011-06-25,5006
2011-06-26,3835
2011-06-27,7096
2011-06-28,5390
2011-06-29,4678
2011-06-30,5032
2011-07-01,4544
2011-07-02,3548
2011-07-03,5305
2011-07-04,5674
2011-07-05,6709
2011-07-06,5181
2011-07-07,5038
2011-07-08,4968
2011-07-09,5880
2011-07-10,1813
2011-07-11,2209
2011-07-12,1538
2011-07-13,5972
2011-07-14,5490
2011-07-15,2943
2011-07-16,4947
2011-07-17,4023
2011-07-18,4476
2011-07-19,4297
2011-07-20,4814
2011-07-21,6047
2011-07-22,5728
2011-07-23,5564
2011-07-24,6134
2011-07-25,7316
2011-07-26,4788
2011-07-27,4117
2011-07-28,5260
2011-07-29,5436
2011-07-30,5352
2011-07-31,4570
2011-08-01,4954
2011-08-02,4872
2011-08-03,6120
2011-08-04,5528
2011-08-05,5758
2011-08-06,5981
2011-08-07,3270
2011-08-08,1846
2011-08-09,6
2011-08-10,10
2011-08-11,12
2011-08-12,6
2011-08-13,4777
2011-08-14,5792
2011-08-15,4862
2011-08-16,5955
2011-08-17,5746
2011-08-18,5184
2011-08-19,4496
2011-08-20,3983
2011-08-21,3898
2011-08-22,6157
2011-08-23,3346
2011-08-24,656
2011-09-21,2769
2011-09-22,4065
2011-09-23,2924
2011-09-24,5521
2011-09-25,5745
2011-09-26,5451
2011-09-27,5692
2011-09-28,4777
2011-09-29,4659
2011-09-30,4458
2011-10-01,4063
2011-10-02,5112
2011-10-03,6390
2011-10-04,3597
2011-10-05,5418
2011-10-06,4595
2011-10-07,4145
2011-10-08,4279
2011-10-09,4695
2011-10-10,5130
2011-10-11,3471
2011-10-12,5645
2011-10-13,3720
2011-10-14,3885
2011-10-15,2931
2011-10-16,4341
2011-10-17,5782
2011-10-18,5846
2011-10-19,5811
2011-10-20,7065
2011-10-21,8690
2011-10-22,5871
2011-10-23,8500
2011-10-24,7890
2011-10-25,8326
2011-10-26,6000
2011-10-27,5736
2011-10-28,5251
2011-10-29,4796
2011-10-30,3878
2011-10-31,4451
2011-11-01,4605
2011-11-02,4688
2011-11-03,4940
2011-11-04,6555
2011-11-05,4105
2011-11-06,5574
2011-11-07,4672
2011-11-08,5840
2011-11-09,3472
2011-11-10,5484
2011-11-11,4900
2011-11-12,4831
2011-11-13,5743
2011-11-14,6347
2011-11-15,7307
2011-11-16,4675
2011-11-17,3994
2011-11-18,5154
2011-11-19,3940
2011-11-20,4318
2011-11-21,5142
2011-11-22,5803
2011-11-23,4739
2011-11-24,6148
2011-11-25,3967
2011-11-26,3388
2011-11-27,4310
2011-11-28,8428
2011-11-29,8090
2011-11-30,5399
2011-12-01,4423
2011-12-02,4447
2011-12-03,4066
2011-12-04,4045
2011-12-05,4076
2011-12-06,4915
2011-12-07,4635
2011-12-08,3732
2011-12-09,4483
2011-12-10,2954
2011-12-11,3654
2011-12-12,7164
2011-12-13,4521
2011-12-14,5048
2011-12-15,4956
2011-12-16,3985
2011-12-17,3393
2011-12-18,5490
2011-12-19,6090
2011-12-20,5330
2011-12-21,6179
2011-12-22,5863
2011-12-23,5467
2011-12-24,3297
2011-12-25,1950
2011-12-26,4781
2011-12-27,4409
2011-12-28,2840
2011-12-29,5112
2011-12-30,3217
2011-12-31,3314
2012-01-01,4564
2012-01-02,3886
2012-01-03,4401
2012-01-04,4820
2012-01-05,4660
2012-01-06,2977
2012-01-07,4866
2012-01-08,4798
2012-01-09,6340
2012-01-10,3887
2012-01-11,4424
2012-01-12,4240
2012-01-13,4656
2012-01-14,3397
2012-01-15,4068
2012-01-16,5612
2012-01-17,9100
2012-01-18,9545
2012-01-19,10313
2012-01-20,9365
2012-01-21,6221
2012-01-22,7561
2012-01-23,9339
2012-01-24,9514
2012-01-25,6757
2012-01-26,9587
2012-01-27,6364
2012-01-28,7306
2012-01-29,7301
2012-01-30,11123
2012-01-31,5862
2012-02-01,4437
2012-02-02,3763
2012-02-03,5050
2012-02-04,3616
2012-02-05,3798
2012-02-06,5852
2012-02-07,3130
2012-02-08,3916
2012-02-09,5342
2012-02-10,4859
2012-02-11,4528
2012-02-12,6615
2012-02-13,4521
2012-02-14,3736
2012-02-15,5009
2012-02-16,4326
2012-02-17,5091
2012-02-18,4012
2012-02-19,3648
2012-02-20,6143
2012-02-21,7042
2012-02-22,8250
2012-02-23,8782
2012-02-24,7462
2012-02-25,7401
2012-02-26,8944
2012-02-27,7959
2012-02-28,6038
2012-02-29,3100
2012-03-01,4964
2012-03-02,3686
2012-03-03,3034
2012-03-04,3948
2012-03-05,7152
2012-03-06,4386
2012-03-07,3884
2012-03-08,4476
2012-03-09,3532
2012-03-10,4992
2012-03-11,4358
2012-03-12,4482
2012-03-13,5578
2012-03-14,4059
2012-03-15,4570
2012-03-16,4884
2012-03-17,3834
2012-03-18,4340
2012-03-19,6333
2012-03-20,5303
2012-03-21,3508
2012-03-22,8596
2012-03-23,6862
2012-03-24,8512
2012-03-25,8342
2012-03-26,8894
2012-03-27,6274
2012-03-28,5074
2012-03-29,5189
2012-03-30,3955
2012-03-31,4205
2012-04-01,5451
2012-04-02,6405
2012-04-03,5163
2012-04-04,4558
2012-04-05,4276
2012-04-06,3972
2012-04-07,3946
2012-04-08,5046
2012-04-09,4610
2012-04-10,3490
2012-04-11,4034
2012-04-12,4265
2012-04-13,5412
2012-04-14,4455
2012-04-15,3407
2012-04-16,9179
2012-04-17,10008
2012-04-18,8603
2012-04-19,7667
2012-04-20,6982
2012-04-21,8194
2012-04-22,8725
2012-04-23,8386
2012-04-24,6500
2012-04-25,3710
2012-04-26,4956
2012-04-27,3497
2012-04-28,4563
2012-04-29,4939
2012-04-30,6811
