is_inactive,window_count
486,673
3234,112
6094,68
6086,60
6098,43
6068,32
3534,28
6072,26
3838,24
2540,24
3154,23
6102,23
6090,22
6162,21
6070,21
6076,21
3660,21
6152,20
6108,20
6084,20
382,20
6104,19
6062,18
6154,17
402,17
6136,16
6080,15
6060,14
6146,12
6078,12
2542,11
3430,11
2906,10
5560,10
406,10
398,10
6140,9
2910,9
6168,9
6158,9
2556,9
6088,9
390,8
388,8
6064,8
2888,8
6166,8
6160,7
2554,7
5962,7
3106,7
3132,7
6074,7
3014,7
1544,7
1302,7
2616,7
2552,7
1404,7
2502,7
1608,7
4964,7
5530,7
298,7
2934,6
2808,6
386,6
378,6
1346,6
374,6
5286,6
5272,6
1338,6
4474,6
1686,6
5900,6
3252,6
6044,6
5230,6
164,6
3526,6
5504,6
120,6
1972,6
4700,6
3522,6
1008,6
2330,5
1324,5
1380,5
2544,5
2778,5
3556,5
292,5
372,5
5478,5
2558,5
6042,5
6142,5
5470,5
380,5
2896,5
3494,5
3352,5
4812,5
2904,5
5320,5
330,5
1562,5
1696,5
1922,5
764,5
484,5
3390,5
2384,5
1714,5
3392,5
3578,5
2164,5
5810,5
3318,5
4218,5
2978,5
1632,5
5498,5
1952,5
2474,5
1084,5
4908,5
1822,5
3000,5
5892,5
664,5
914,5
644,5
3230,5
5882,5
1068,5
5150,5
1076,5
728,5
2116,5
3384,5
1956,5
578,5
392,5
4672,5
6128,5
2818,5
1060,5
4904,5
3662,4
772,4
1604,4
2876,4
5942,4
638,4
4238,4
5312,4
432,4
3658,4
1592,4
1366,4
3464,4
1200,4
3652,4
636,4
3432,4
624,4
1572,4
2718,4
2508,4
3664,4
540,4
5898,4
5844,4
692,4
730,4
5894,4
554,4
4708,4
1242,4
1478,4
3460,4
5840,4
2610,4
1300,4
5492,4
5880,4
538,4
1500,4
5938,4
3482,4
1384,4
1568,4
2698,4
766,4
1550,4
678,4
490,4
5878,4
530,4
494,4
3572,4
3442,4
4288,4
3508,4
3552,4
2834,4
4686,4
2002,4
3666,4
5184,4
148,4
878,4
3884,4
2240,4
3872,4
176,4
180,4
1080,4
5172,4
5300,4
1890,4
218,4
4112,4
848,4
2290,4
3824,4
2296,4
252,4
6050,4
1118,4
3212,4
1036,4
2952,4
994,4
3142,4
5046,4
2020,4
4014,4
2074,4
6156,4
1990,4
6148,4
5016,4
80,4
3046,4
910,4
1020,4
5708,4
1028,4
106,4
110,4
6116,4
116,4
6112,4
2972,4
3722,4
6008,4
5766,4
6028,4
816,4
2916,4
5242,4
2452,4
2460,4
3282,4
4836,4
290,4
4180,4
3726,4
4412,4
346,4
2430,4
1182,4
5994,4
384,4
4844,4
5980,4
4562,4
4588,4
2466,4
5974,4
4872,4
5568,4
2942,4
286,4
2940,4
830,4
1014,3
4654,3
5460,3
2884,3
2766,3
2036,3
1002,3
2900,3
2762,3
3078,3
3080,3
954,3
2878,3
5538,3
3114,3
3122,3
2892,3
4484,3
3126,3
1306,3
4652,3
1140,3
1024,3
2776,3
2844,3
1240,3
2854,3
4598,3
4548,3
2862,3
2990,3
1098,3
4594,3
1088,3
1082,3
2810,3
4538,3
5552,3
4534,3
1216,3
1172,3
2908,3
4526,3
5488,3
2786,3
4524,3
1050,3
1048,3
2948,3
3048,3
1316,3
1092,3
4784,3
1318,3
1874,3
1868,3
1858,3
2238,3
5156,3
2244,3
2250,3
5164,3
5168,3
1828,3
5174,3
5178,3
5186,3
2278,3
1802,3
2286,3
1794,3
1790,3
1780,3
1776,3
1772,3
2318,3
5212,3
1762,3
5214,3
1756,3
4880,3
4868,3
1744,3
2354,3
2220,3
5140,3
5454,3
5138,3
5056,3
5064,3
2062,3
2006,3
2004,3
5068,3
5024,3
1984,3
2084,3
5082,3
2100,3
5088,3
1950,3
1946,3
1944,3
2136,3
2146,3
2152,3
2156,3
2158,3
2166,3
1918,3
2174,3
4960,3
1896,3
4938,3
5132,3
1884,3
5134,3
2356,3
1732,3
2364,3
1722,3
2566,3
2578,3
1496,3
1490,3
2598,3
2600,3
4744,3
1470,3
1464,3
5394,3
2666,3
1422,3
5404,3
1416,3
2680,3
1408,3
1406,3
2684,3
2686,3
1392,3
5422,3
2704,3
1374,3
2712,3
5434,3
1352,3
2730,3
1342,3
1330,3
2560,3
1518,3
1522,3
5288,3
2378,3
2392,3
5250,3
2394,3
2402,3
2414,3
1670,3
5270,3
4808,3
2456,3
1644,3
4806,3
2462,3
5290,3
2546,3
2476,3
1600,3
2494,3
1584,3
4790,3
4788,3
2506,3
950,3
2520,3
2522,3
2524,3
2534,3
5334,3
3138,3
3064,3
5682,3
786,3
594,3
5870,3
3516,3
5872,3
3520,3
3528,3
5886,3
3532,3
3542,3
548,3
542,3
4278,3
5904,3
3550,3
522,3
520,3
516,3
5912,3
3558,3
4274,3
3570,3
3582,3
476,3
3588,3
470,3
3594,3
3612,3
3512,3
3502,3
620,3
698,3
5776,3
3306,3
3320,3
4390,3
3328,3
758,3
5794,3
4364,3
3364,3
3398,3
3406,3
3410,3
3414,3
5854,3
688,3
3426,3
3434,3
668,3
4318,3
654,3
4312,3
650,3
646,3
5846,3
634,3
626,3
4246,3
4220,3
436,3
108,3
184,3
4094,3
174,3
170,3
168,3
154,3
142,3
6106,3
3896,3
130,3
124,3
3902,3
6120,3
192,3
6124,3
3920,3
3938,3
3956,3
4038,3
4034,3
30,3
3970,3
4024,3
3986,3
6164,3
4000,3
190,3
3842,3
428,3
326,3
5968,3
5970,3
3668,3
376,3
5984,3
366,3
3714,3
5990,3
5992,3
342,3
6004,3
6010,3
3732,3
216,3
3738,3
318,3
3766,3
4158,3
3770,3
6034,3
3784,3
276,3
270,3
262,3
6054,3
6058,3
784,3
5052,3
5726,3
3196,3
3270,3
826,3
846,3
3222,3
922,3
844,3
4464,3
3254,3
3264,3
934,3
3218,3
902,3
3274,3
842,3
820,3
5710,3
5730,3
3204,3
4402,3
5764,3
3144,3
896,3
3296,3
818,3
3198,3
5772,3
3224,3
3798,2
2316,2
3180,2
2322,2
4586,2
3790,2
3182,2
3788,2
2324,2
4148,2
4878,2
4152,2
3056,2
3058,2
4122,2
2314,2
4138,2
2270,2
2272,2
2274,2
4506,2
4110,2
4906,2
3068,2
4114,2
3832,2
4902,2
2284,2
3830,2
4458,2
4118,2
3066,2
4898,2
2346,2
2300,2
2306,2
3804,2
2308,2
3778,2
2374,2
2348,2
4862,2
2410,2
2412,2
3724,2
2420,2
2422,2
4826,2
2426,2
4522,2
4824,2
3720,2
2436,2
4186,2
4452,2
4818,2
2444,2
2448,2
3712,2
3710,2
4192,2
3028,2
3702,2
3034,2
3036,2
3038,2
4846,2
3776,2
3052,2
4456,2
3762,2
2372,2
4102,2
3758,2
2376,2
3756,2
3754,2
4838,2
4164,2
4166,2
4176,2
2388,2
4842,2
4454,2
3736,2
3044,2
2396,2
4106,2
4504,2
4100,2
4468,2
2092,2
5014,2
3948,2
3946,2
3944,2
5008,2
5000,2
3942,2
2120,2
2122,2
2130,2
4040,2
4048,2
3934,2
4984,2
3932,2
3928,2
4052,2
4982,2
2144,2
4054,2
2150,2
4044,2
3116,2
3176,2
5030,2
2038,2
5050,2
5048,2
2044,2
4006,2
4476,2
5044,2
4472,2
5036,2
3984,2
2066,2
3120,2
4486,2
2068,2
3124,2
5026,2
4030,2
3158,2
2078,2
3962,2
2080,2
5022,2
3922,2
4974,2
3112,2
3882,2
3088,2
4072,2
4930,2
3888,2
2224,2
2228,2
2232,2
2234,2
3166,2
4074,2
4498,2
4058,2
2242,2
3170,2
3858,2
2258,2
2262,2
4804,2
2264,2
4096,2
4910,2
3074,2
4070,2
3894,2
2216,2
4496,2
3164,2
4060,2
3104,2
3912,2
2172,2
4062,2
2176,2
3102,2
3904,2
2188,2
2190,2
4952,2
4946,2
2202,2
3100,2
3096,2
4936,2
3898,2
4934,2
3094,2
3092,2
3022,2
4800,2
3696,2
3450,2
2724,2
4422,2
4678,2
3458,2
4314,2
2732,2
2734,2
2738,2
2740,2
4674,2
4320,2
3506,2
4670,2
4330,2
2930,2
4668,2
2928,2
2750,2
2754,2
3424,2
4574,2
3412,2
2720,2
4684,2
4424,2
4560,2
2960,2
3492,2
3488,2
3480,2
4302,2
4694,2
2690,2
2692,2
4306,2
2696,2
2958,2
2700,2
2954,2
3250,2
4308,2
3468,2
2706,2
3466,2
2708,2
4688,2
3256,2
4658,2
3268,2
2914,2
2830,2
4374,2
3278,2
3342,2
2836,2
4614,2
3340,2
4384,2
4600,2
3332,2
3286,2
2864,2
2866,2
4582,2
3322,2
2874,2
3312,2
2880,2
4590,2
3302,2
3304,2
2894,2
4618,2
4620,2
4580,2
4622,2
3404,2
3396,2
2774,2
4348,2
3388,2
4350,2
2784,2
3382,2
2788,2
2794,2
3380,2
4640,2
4638,2
4354,2
4636,2
3374,2
4362,2
2816,2
3362,2
2824,2
3276,2
4696,2
2676,2
3694,2
2532,2
4254,2
3226,2
3002,2
2512,2
3592,2
2518,2
3584,2
3236,2
3580,2
2530,2
3576,2
4554,2
4270,2
4776,2
2538,2
3238,2
3240,2
4276,2
3562,2
3560,2
2548,2
4774,2
3006,2
3614,2
3618,2
3624,2
3690,2
3680,2
2468,2
2470,2
4802,2
3670,2
4440,2
3020,2
4796,2
4532,2
2484,2
4794,2
3220,2
2488,2
2490,2
2492,2
4226,2
2496,2
4792,2
3632,2
4240,2
2998,2
3242,2
4542,2
3524,2
4732,2
4728,2
2634,2
4726,2
4724,2
4722,2
4718,2
4716,2
4712,2
2656,2
2658,2
4706,2
2974,2
2664,2
4426,2
2668,2
4702,2
2672,2
2970,2
3514,2
2964,2
4736,2
4740,2
3554,2
2618,2
4544,2
3244,2
4546,2
2562,2
3548,2
2574,2
2576,2
3246,2
3546,2
4760,2
3140,2
2986,2
2594,2
2984,2
2982,2
4748,2
2606,2
3536,2
2980,2
3530,2
2976,2
2590,2
2,2
2032,2
936,2
942,2
944,2
962,2
980,2
5648,2
998,2
1012,2
1032,2
1034,2
5618,2
1052,2
1054,2
1056,2
1058,2
2030,2
5612,2
1090,2
1094,2
1096,2
1100,2
5596,2
1106,2
1108,2
1110,2
