window_start,sensor_name,observed_events,expected_events,low_alert_threshold,high_alert_threshold,deviation_events,deviation_score,history_windows,alert
2013-12-05 12:00:00,Kitchen,1117.0,14.0,0.0,566.02,1103.0,53.14,1037,HIGH_DEVIATION
2012-01-30 20:00:00,WorkArea,1106.0,24.0,0.0,333.65,1082.0,30.408,1036,HIGH_DEVIATION
2014-04-12 11:00:00,Kitchen,1066.0,2.0,0.0,601.12,1064.0,358.829,1037,HIGH_DEVIATION
2012-11-28 13:00:00,LivingRoom,1075.0,36.0,0.0,453.76,1039.0,21.9,1037,HIGH_DEVIATION
2011-11-28 13:00:00,LivingRoom,1068.0,36.0,0.0,453.76,1032.0,21.752,1037,HIGH_DEVIATION
2014-03-08 10:00:00,Kitchen,1004.0,2.0,0.0,736.0,1002.0,337.92,1037,HIGH_DEVIATION
2014-02-18 09:00:00,Kitchen,1004.0,12.0,0.0,633.74,992.0,55.758,1037,HIGH_DEVIATION
2011-10-23 11:00:00,Bedroom,974.0,2.0,0.0,468.2,972.0,327.803,1037,HIGH_DEVIATION
2013-10-12 19:00:00,Bedroom,964.0,0.0,0.0,420.7,964.0,964.0,1036,HIGH_DEVIATION
2014-04-05 12:00:00,Bedroom,937.0,4.0,0.0,428.0,933.0,157.325,1037,HIGH_DEVIATION
2014-02-15 10:00:00,Kitchen,916.0,2.0,0.0,736.0,914.0,308.242,1037,HIGH_DEVIATION
2014-04-09 14:00:00,Bedroom,911.0,3.0,0.0,659.48,908.0,204.146,1037,HIGH_DEVIATION
2014-04-11 11:00:00,Bedroom,896.0,2.0,0.0,468.2,894.0,301.497,1037,HIGH_DEVIATION
2012-08-15 14:00:00,LivingRoom,892.0,38.0,0.0,402.64,854.0,16.942,1037,HIGH_DEVIATION
2012-12-23 16:00:00,Kitchen,848.0,2.0,0.0,401.2,846.0,285.31,1036,HIGH_DEVIATION
2012-12-23 10:00:00,Bathroom,831.0,8.0,0.0,532.4,823.0,69.388,1037,HIGH_DEVIATION
2012-08-10 19:00:00,Kitchen,906.0,84.0,0.0,596.125,822.0,6.6,1036,HIGH_DEVIATION
2012-04-18 11:00:00,Bathroom,813.0,0.0,0.0,582.0,813.0,813.0,1037,HIGH_DEVIATION
2012-03-24 11:00:00,Bathroom,808.0,0.0,0.0,582.0,808.0,808.0,1037,HIGH_DEVIATION
2014-02-07 10:00:00,Kitchen,810.0,2.0,0.0,736.0,808.0,272.494,1037,HIGH_DEVIATION
2012-01-22 10:00:00,Bathroom,801.0,8.0,0.0,532.4,793.0,66.859,1037,HIGH_DEVIATION
2012-02-22 10:00:00,Bathroom,801.0,8.0,0.0,532.4,793.0,66.859,1037,HIGH_DEVIATION
2013-12-22 13:00:00,Kitchen,808.0,18.0,0.0,607.64,790.0,29.603,1037,HIGH_DEVIATION
2012-01-16 16:00:00,WorkArea,789.0,0.0,0.0,289.2,789.0,789.0,1036,HIGH_DEVIATION
2013-12-26 17:00:00,Kitchen,818.0,34.0,0.0,708.25,784.0,15.553,1036,HIGH_DEVIATION
2012-05-15 17:00:00,Kitchen,804.0,34.0,0.0,708.25,770.0,15.275,1036,HIGH_DEVIATION
2013-10-13 19:00:00,Bedroom,764.0,0.0,0.0,420.7,764.0,764.0,1036,HIGH_DEVIATION
2014-01-02 13:00:00,Kitchen,778.0,18.0,0.0,607.64,760.0,28.478,1037,HIGH_DEVIATION
2011-10-25 09:00:00,Bathroom,793.0,34.0,0.0,555.56,759.0,15.057,1037,HIGH_DEVIATION
2013-12-25 10:00:00,Kitchen,760.0,2.0,0.0,736.0,758.0,255.632,1037,HIGH_DEVIATION
2014-02-27 11:00:00,Bedroom,760.0,2.0,0.0,468.2,758.0,255.632,1037,HIGH_DEVIATION
2014-02-13 17:00:00,Kitchen,790.0,34.0,0.0,708.25,756.0,14.998,1036,HIGH_DEVIATION
2013-11-21 17:00:00,Kitchen,784.0,34.0,0.0,708.25,750.0,14.878,1036,HIGH_DEVIATION
2014-02-16 19:00:00,Kitchen,832.0,84.0,0.0,596.125,748.0,6.006,1036,HIGH_DEVIATION
2012-04-21 10:00:00,Kitchen,748.0,2.0,0.0,736.0,746.0,251.585,1037,HIGH_DEVIATION
2014-02-17 13:00:00,Kitchen,759.0,18.0,0.0,607.64,741.0,27.767,1037,HIGH_DEVIATION
