window_start,Bathroom,Bedroom,DiningRoom,Kitchen,LivingRoom,OutsideDoor,WorkArea,total_events,n_sensors_active,tod_sin,tod_cos,dow,is_inactive
2011-06-15 00:00:00,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2,0
2011-06-15 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25881904510252074,0.9659258262890683,2,1
2011-06-15 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387,2,1
2011-06-15 03:00:00,30.0,62.0,0.0,0.0,0.0,0.0,0.0,92.0,2.0,0.7071067811865476,0.7071067811865476,2,0
2011-06-15 04:00:00,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.8660254037844386,0.5000000000000001,2,0
2011-06-15 05:00:00,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.9659258262890683,0.25881904510252074,2,0
2011-06-15 06:00:00,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,6.123233995736766e-17,2,0
2011-06-15 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9659258262890683,-0.25881904510252063,2,1
2011-06-15 08:00:00,40.0,86.0,0.0,0.0,28.0,20.0,18.0,192.0,5.0,0.8660254037844387,-0.4999999999999998,2,0
2011-06-15 09:00:00,68.0,102.0,2.0,12.0,20.0,0.0,82.0,286.0,6.0,0.7071067811865476,-0.7071067811865475,2,0
2011-06-15 10:00:00,0.0,0.0,24.0,76.0,26.0,0.0,0.0,126.0,3.0,0.49999999999999994,-0.8660254037844387,2,0
2011-06-15 11:00:00,0.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0,1.0,0.258819045102521,-0.9659258262890682,2,0
2011-06-15 12:00:00,200.0,14.0,0.0,0.0,34.0,0.0,64.0,312.0,4.0,1.2246467991473532e-16,-1.0,2,0
